datetime,close,open,high,low,volume,
"Sep 06, 2021",52,51.9,52.1,51.6,248.96K,
"Sep 03, 2021",52.2,53,53.3,51.9,939.89K,
"Sep 02, 2021",52.9,52,53.3,51.6,1.37M,
"Sep 01, 2021",51.9,52.1,52.3,51.5,751.87K,
"Aug 31, 2021",52.9,51.5,53,51.1,2.63M,
"Aug 30, 2021",51.5,52.6,52.6,51.5,882.04K,
"Aug 27, 2021",52.6,55,55,52,1.70M,
"Aug 26, 2021",53.7,51,56.5,50.5,5.37M,
"Aug 25, 2021",51,51.2,52,50.9,770.22K,
"Aug 24, 2021",51.1,50.2,51.9,50,1.08M,
"Aug 23, 2021",50.2,50.6,50.8,49.9,2.20M,
"Aug 20, 2021",50.6,50.5,50.7,50.3,509.28K,
"Aug 19, 2021",50.5,50.2,50.6,50.2,784.15K,
"Aug 18, 2021",50.2,50.8,50.8,50,447.94K,
"Aug 17, 2021",50.6,50.5,50.8,50.2,223.70K,
"Aug 16, 2021",50.4,50.5,50.7,50,48.05K,
"Aug 13, 2021",50.5,50.5,51,50.4,139.12K,
"Aug 12, 2021",50.1,50.2,50.3,49.7,742.89K,
"Aug 11, 2021",50.3,50,50.6,49.6,533.10K,
"Aug 10, 2021",50,50.5,50.5,49.6,1.45M,
"Aug 09, 2021",50.5,50.7,50.8,50,1.58M,
"Aug 06, 2021",50.7,50.7,50.9,50.4,1.16M,
"Aug 05, 2021",50.6,50.9,51.6,50.4,1.73M,
"Aug 04, 2021",51,51,51.6,50.5,1.22M,
"Aug 03, 2021",51,51,51.5,50.3,2.27M,
"Aug 02, 2021",51.1,52,52,51,649.00K,
"Jul 30, 2021",51.7,51.8,52,51.5,292.53K,
"Jul 29, 2021",51.8,51.8,52.1,51.7,225.78K,
"Jul 28, 2021",51.6,51.7,52,51.3,326.21K,
"Jul 27, 2021",51.5,51.5,52,51,723.30K,
"Jul 26, 2021",51.4,52,52,51,1.09M,
"Jul 22, 2021",52,52.6,52.9,51.9,946.05K,
"Jul 20, 2021",52.8,53.5,53.5,52.4,1.05M,
"Jul 19, 2021",53.4,53,53.4,52.8,339.71K,
"Jul 16, 2021",53.3,53.2,53.7,53,214.01K,
"Jul 15, 2021",53.1,53.3,53.9,53,360.50K,
"Jul 14, 2021",53,52.5,53.8,52.4,374.77K,
"Jul 13, 2021",52.7,52.5,52.7,52,618.98K,
"Jul 12, 2021",52.5,53,53,52.2,325.99K,
"Jul 09, 2021",52.6,53,53,52.5,163.94K,
"Jul 08, 2021",52.8,52.5,53,52.4,581.06K,
"Jul 07, 2021",52.3,52.4,52.4,52,203.07K,
"Jul 06, 2021",52.2,52.4,52.4,52.1,211.84K,
"Jul 05, 2021",52.4,52.4,52.5,52,679.33K,
"Jul 02, 2021",52.5,53,53,52.3,1.62M,
"Jul 01, 2021",52.9,53,53.5,52.7,262.74K,
"Jun 30, 2021",52.8,53.5,53.5,52.5,299.52K,
"Jun 29, 2021",53.8,54,54,53.1,571.03K,
"Jun 28, 2021",54.1,54.2,54.5,54,444.54K,
"Jun 25, 2021",54.2,54.3,54.5,53.9,828.32K,
"Jun 23, 2021",54.4,54.5,54.7,53.8,513.72K,
"Jun 22, 2021",54.6,55,55,54.5,767.48K,
"Jun 21, 2021",55.2,55.2,55.2,54.9,1.19M,
"Jun 18, 2021",55.3,55.2,55.3,55,640.78K,
"Jun 17, 2021",55.2,55.3,55.5,55,572.33K,
"Jun 16, 2021",55.1,55,55.5,55,537.65K,
"Jun 15, 2021",55.3,55.8,56,55,642.22K,
"Jun 14, 2021",55.8,55.1,55.9,54.9,733.49K,
"Jun 11, 2021",55.5,55.9,55.9,55.3,452.36K,
"Jun 10, 2021",55.1,55,56,54.8,1.15M,
"Jun 09, 2021",55,55,55.2,54.7,300.44K,
"Jun 08, 2021",54.9,55.3,55.4,54.9,757.85K,
"Jun 07, 2021",55.3,55.8,55.9,55.1,481.63K,
"Jun 04, 2021",55.7,55,56.1,55,1.22M,
"Jun 03, 2021",56,55.9,56,55.1,991.54K,
"Jun 02, 2021",55.8,55.9,56,55.1,959.36K,
"Jun 01, 2021",55.9,55.6,56.1,54.7,946.54K,
"May 31, 2021",55.6,56,56.8,55,1.87M,
"May 28, 2021",55.9,54.8,56.6,54.8,2.59M,
"May 25, 2021",54.7,52.8,54.7,52.8,1.46M,
"May 24, 2021",52.8,52,52.9,51.8,707.34K,
"May 21, 2021",52.3,52.7,52.7,51.6,2.30M,
"May 20, 2021",52.5,52.9,52.9,51.8,1.16M,
"May 19, 2021",52.7,52.2,52.9,51.9,528.82K,
"May 18, 2021",52.2,52.2,52.3,51.7,1.12M,
"May 17, 2021",51.9,50.6,52,50.6,606.06K,
"May 13, 2021",50.6,49.8,50.7,49.7,373.22K,
"May 12, 2021",50,50.1,51.4,49.9,660.74K,
